Experiment_Round,Pair_ID,Distance,Agent_Number,Agent1_Amplitudes,Agent1_Frequencies,Agent1_ID,Agent1_Name,Agent1_Velocities,Agent1_left_brightness,Agent1_right_brightness,Agent2_Amplitudes,Agent2_Frequencies,Agent2_ID,Agent2_Name,Agent2_Velocities,Agent2_left_brightness,Agent2_right_brightness
1,1,0.25,1,110.74208309199852,26.07959028987012,Agent_1,Abigail,-81.0933222206344,,,,,,,,,
1,1,0.25,2,,,,,,,,98.92875073751776,6.744444113697722,Agent_19,Fleur,107.39459433978696,,
1,1,0.5,1,108.99364420000646,28.40357324349845,Agent_1,Abigail,-78.16527885346382,,,,,,,,,
1,1,0.5,2,,,,,,,,100.7826804998884,8.417813415808707,Agent_19,Fleur,102.54724448965608,,
1,1,1.0,1,111.70433410451922,24.52961951360939,Agent_1,Abigail,-82.79388829659118,0.0,183.5481,,,,,,,
1,1,1.0,2,,,,,,,,104.71396376388776,10.942059739440452,Agent_19,Fleur,102.50675076140172,195.66693022222225,0.0
1,1,2.0,1,109.73722572988416,25.091664682592448,Agent_1,Abigail,-82.72931948153699,0.0,183.4241071111111,,,,,,,
1,1,2.0,2,,,,,,,,103.40562224053292,10.320350037794556,Agent_19,Fleur,101.16459947335834,195.67900088888888,0.0
1,1,3.0,1,101.9782619491895,25.69903436949917,Agent_1,Abigail,-80.48531629959002,0.0,183.79909377777776,,,,,,,
1,1,3.0,2,,,,,,,,95.67006502656454,9.017163824300797,Agent_19,Fleur,99.16970855658636,195.66542222222225,0.0
1,1,4.0,1,110.7660068595351,21.35301702022007,Agent_1,Abigail,-83.6241363093323,0.0,183.82217066666664,,,,,,,
1,1,4.0,2,,,,,,,,110.96959258799453,8.750586728383604,Agent_19,Fleur,99.76936068228764,195.668644,0.0
1,1,5.0,1,113.8814934550748,24.98890726716983,Agent_1,Abigail,-83.8387851657275,0.0,183.694096,,,,,,,
1,1,5.0,2,,,,,,,,95.37235147030088,6.219568133993864,Agent_19,Fleur,100.90692479788112,195.6485191111111,0.0
